indices,nomes,paises
1998-05-28,Monica Vance,Egypt
1997-06-30,Ronald Keller,Morocco
2020-04-30,Jonathan Montgomery,Norfolk Island
2001-12-27,Ms. Lori Brown MD,Uruguay
2009-12-25,Amber Jackson,Greenland
2011-02-20,Jillian Juarez,Lithuania
2004-10-16,Trevor Allen,Mali
2023-01-24,Sean Dougherty,Maldives
2014-10-04,Ryan Diaz,Northern Mariana Islands
2007-12-15,Crystal Martinez,Algeria
2016-06-19,Karen Obrien,Cyprus
2016-12-30,Peter Clark,Kyrgyz Republic
2005-01-31,Adriana James,Puerto Rico
2018-08-10,Debra Mckay,Tunisia
2016-05-23,Kylie Hoover,Saint Helena
2006-12-02,Ana Santiago,Cambodia
2000-05-15,Aaron Johnson,French Guiana
2002-11-09,Isaac Cruz,Tuvalu
2000-01-11,Steven Watkins,Gabon
2020-09-07,Gary Fleming,Holy See (Vatican City State)
2013-07-19,Donna Webb,Tunisia
1995-11-06,Katie Hughes,Estonia
1996-04-01,Melinda Jones,Singapore
2012-03-30,Anthony Walker,Belize
2023-03-08,Gregory Baldwin,Rwanda
2020-04-05,Eddie Stanley,Albania
1999-10-05,Paula Martin,Venezuela
1998-05-22,Larry Wilkerson,Congo
2023-08-06,Jesse French,Iran
2011-12-28,Cathy Armstrong,Uzbekistan
2002-07-23,Patricia Logan,Norfolk Island
2020-02-29,Allison Martin,Korea
2003-09-13,Valerie Livingston,Bulgaria
2023-12-17,Lindsay Brown,Dominica
2017-01-16,Michael Knapp,Bulgaria
2005-11-06,Susan Rodriguez,Taiwan
2018-07-13,Bridget Bradley,Switzerland
2014-07-27,Kevin Thomas,Paraguay
2020-12-19,Whitney Walters,Mexico
2022-03-15,Gregory Morris,Isle of Man
2005-11-11,Joann Taylor,Colombia
2008-01-14,Dylan Cook,Poland
2004-08-01,Mr. Cameron Perez,Nepal
2012-12-29,Stephanie Beck,Tanzania
2000-05-14,Samuel Garza,Guadeloupe
2022-11-07,Dr. Marissa Smith,Japan
2004-07-07,Robert Boyd,Seychelles
2020-06-24,Donald Kline,Anguilla
2020-09-18,Christine Davis,French Polynesia
2017-07-05,Janet Sanchez,Samoa
1995-12-17,Robert Lindsey,Palau
2017-01-09,Ryan Ayers,Libyan Arab Jamahiriya
2019-10-04,Stephanie Strickland,Saint Kitts and Nevis
2011-04-20,Christine Taylor,Cocos (Keeling) Islands
1997-05-27,Catherine Romero,Finland
2001-01-29,Amy Gilbert,Colombia
2021-04-11,Lisa Smith,Sudan
2006-12-24,Julie Fields,Holy See (Vatican City State)
1995-08-30,Misty Chavez,Japan
2017-11-11,Leslie Morris,Greece
1995-06-13,Rachel Williams,Botswana
2010-05-10,Sheryl Hill,Saint Pierre and Miquelon
2015-11-08,Peter Juarez,Uzbekistan
1996-09-27,Veronica Donaldson,Norway
2015-01-05,Casey Chavez,Falkland Islands (Malvinas)
2009-11-26,Johnathan Cruz,Palestinian Territory
1999-01-14,Michael Hernandez,Ethiopia
2001-07-01,Suzanne Robinson,Pitcairn Islands
2018-08-01,Stephanie Gonzales,Nigeria
1997-04-21,David David,Costa Rica
2002-07-21,Brett Wilson,Cameroon
2011-07-01,William Martinez,Aruba
2004-01-21,Carrie Flores,British Indian Ocean Territory (Chagos Archipelago)
2007-08-10,Brandon Horn,Puerto Rico
1996-02-23,Christopher Golden,Rwanda
1995-09-17,Jill Franco,Cameroon
2021-04-07,William Nichols,Burkina Faso
2023-08-18,Kyle Ortega,Gabon
2005-11-06,Keith Hopkins,Rwanda
1994-09-13,Ashlee Smith,Ukraine
2000-07-31,Terry Powell,New Caledonia
1996-03-11,Kimberly Duke,Heard Island and McDonald Islands
2011-01-09,Mary Owens,Korea
2005-05-05,Jillian Perkins,Austria
2015-05-16,Leroy Thomas,Zambia
2001-09-06,Jose Lopez,Burundi
2022-04-20,Lisa Sparks,Croatia
2004-12-05,Jason Bradford,Isle of Man
2024-02-29,Matthew Davis,Malawi
2023-07-19,Randy Jackson,Paraguay
2022-01-21,Lisa Thomas,Bhutan
2020-11-22,Heather Brandt,Saint Kitts and Nevis
2023-12-12,Beverly George,Saint Pierre and Miquelon
2022-09-24,Timothy Hughes,Togo
1998-06-17,Brad Green,Chile
2021-03-20,Kevin Macias,Angola
2014-01-24,Melissa Morales,Mauritius
1995-02-11,Barbara Hanson,Anguilla
2012-12-31,Calvin Murphy,Reunion
1998-10-09,Miranda Rodgers MD,Lesotho
2017-09-10,John Jones,Antigua and Barbuda
1999-12-11,Keith Hurley,Mauritania
1999-05-10,Tim Williams,Lebanon
2017-09-27,Juan White,Uzbekistan
2023-07-05,Angelica Mcdowell,Austria
1999-01-16,Erik Rowe,Rwanda
2013-05-20,Jeffrey Richard,Bouvet Island (Bouvetoya)
2016-05-04,Richard Obrien,Sudan
2010-12-12,Mr. Erik Sullivan,Northern Mariana Islands
2011-07-20,Richard Miller,Senegal
2022-01-10,Andrea Gibbs,Ecuador
2022-02-08,Melissa Ball,Lithuania
2021-12-13,Michael Tanner,Germany
1999-05-14,Mrs. Monica Ewing MD,Gabon
2001-12-14,Peter Johnson,Bolivia
1999-03-02,Troy Ryan,Morocco
2015-06-06,Kathy Torres,Netherlands
2022-08-29,Heather Walls,Austria
2009-11-11,Mrs. Miranda Williams,Estonia
2006-01-10,Rhonda Taylor,Gibraltar
1996-05-01,Nicole Kane,Gabon
2001-12-27,Renee Gilmore,Liechtenstein
2000-08-03,Daniel Erickson,Korea
2005-08-18,Jeffrey Carlson,Egypt
2016-03-27,Kathryn Dennis,Cocos (Keeling) Islands
2017-05-06,Juan Howard,Bermuda
2006-07-19,Valerie Smith,Somalia
2004-10-31,Alexander Blair,Uruguay
1998-02-09,Charles Austin,Uganda
2004-04-26,Valerie Garcia,Mongolia
2003-03-15,Michael Nelson,Serbia
2013-06-22,Donna Perkins,Marshall Islands
2003-11-25,Amy Long,Saint Vincent and the Grenadines
2017-10-10,William Bentley,Mongolia
2019-06-16,Hannah Mejia,Guam
2012-05-01,Randy Farmer,Suriname
2020-05-01,Michael Hicks DDS,United Arab Emirates
2010-05-20,Bryan Bond,Montenegro
1999-12-21,Cindy Johnson,Brunei Darussalam
2008-06-25,Jaime Ashley,French Guiana
1999-06-08,Terri Ramsey,Costa Rica
2014-05-16,Dylan Fitzgerald,Bosnia and Herzegovina
2007-01-12,Andrea Ray,Lebanon
2022-08-16,Michael Henry,Solomon Islands
2001-09-09,Ashley Johnson,Chad
2003-08-13,Kyle Ballard,Holy See (Vatican City State)
2003-11-06,Anna Morales,Denmark
1997-06-30,Steven Bonilla,Niger
2008-02-15,Ashley Boyer,Israel
2007-11-06,Caleb Daniels,Liechtenstein
1997-11-15,Sarah Mathis,Ethiopia
2019-09-19,Emily Carroll,Bouvet Island (Bouvetoya)
2016-02-27,Andrew Ramos,India
2021-11-24,Patrick Brown,Niue
2010-11-10,Karen Drake,British Indian Ocean Territory (Chagos Archipelago)
1996-06-02,Daniel Mendez,Moldova
1996-01-05,Elizabeth Webb,Comoros
2018-05-27,Danielle Hernandez,Malaysia
2020-10-28,Brandi Nguyen,Romania
2022-07-26,Michael Hall,Hong Kong
1999-08-13,James Newman,Suriname
2017-09-21,Zachary Moore Jr.,Oman
2015-08-17,Joshua Shepherd,Suriname
2013-08-04,Peter Roberson,Tajikistan
2001-06-26,Colleen Hamilton,Guatemala
2001-02-15,Robert Gomez,Greece
2003-12-08,Brian Alexander,Dominica
2022-08-06,Brian Sanchez,Jamaica
2002-08-21,Amanda Woods,Lebanon
2002-02-03,April Payne,Mozambique
1994-06-12,Amanda Vega,Saint Martin
2002-08-28,Edward Trevino,Paraguay
2001-05-03,Billy Snyder,Aruba
2005-04-19,David Howe,Chile
1994-09-27,Nicholas Fischer,Saint Lucia
2007-08-19,Allen Salinas,Belgium
2000-12-11,Samuel Hale,Jordan
2005-10-11,Alexander Robles,French Polynesia
2024-01-27,Melissa Johnson,Jordan
2017-07-08,Mark Robinson,Serbia
2015-01-03,Stephen Schroeder,Falkland Islands (Malvinas)
2004-04-06,Sean Tran,Somalia
2018-08-28,Sherry Gentry,Niger
1996-01-28,Monica Tucker,United Arab Emirates
2017-10-08,Sandra Williams,Ecuador
2005-11-09,Mackenzie Miller,Mauritania
2007-03-02,Sally Holmes,Niue
2008-08-15,Karen Jones,China
2005-03-04,Jason Fox,Niue
1996-10-09,John Le,Serbia
2012-06-27,Sarah Flynn,El Salvador
2017-11-09,Garrett Aguilar,Grenada
2019-03-15,Stuart Nichols,Nauru
1996-08-20,Angie Gross,Saint Kitts and Nevis
2020-10-24,Karen Williams,Azerbaijan
2013-01-20,Jamie Diaz,Burkina Faso
2013-01-05,Jeffrey Lopez,Cocos (Keeling) Islands
2015-05-16,Karen Mejia,Vietnam
2020-05-19,Caitlin Harris,Palau
1995-08-06,Mary Woods,Georgia
2000-11-25,Samuel Berger,Nepal
2015-08-25,Elizabeth Ray,Eritrea
1997-11-05,Peter Mosley,Kiribati
2011-02-15,Jeffrey Johnson,Iraq
1995-11-28,Adrian Walls,Burundi
2000-12-10,Joy Reed,Luxembourg
2018-08-15,Sophia Duarte,Northern Mariana Islands
2018-07-09,Mr. Michael Espinoza Jr.,Paraguay
2018-07-15,Eric Ramsey,Kyrgyz Republic
1999-07-02,Eugene Powers,Libyan Arab Jamahiriya
2023-06-16,David Mitchell,Haiti
2007-03-14,Lisa Phillips,Sierra Leone
2011-01-13,Edward Gibbs,Belgium
2017-01-07,Jacqueline Haynes,Spain
1998-12-28,Shawn Porter,Guadeloupe
2020-04-20,Kimberly Williams,Morocco
2012-07-28,Gregory Park,Turkmenistan
2009-08-18,Donald Dawson,Belgium
2006-01-17,Adrienne Mcbride,Gambia
2008-08-06,Tammy Thompson,Saint Martin
2008-04-26,Timothy Jones,Jordan
2002-01-28,Mark Horne,Czech Republic
1995-09-28,Maria Hudson,Tanzania
2011-08-08,Crystal Rodriguez,United Arab Emirates
2004-07-01,Mr. Jeffrey Hodges DDS,Northern Mariana Islands
2018-04-17,Kimberly Coleman,Hungary
1996-01-26,Cindy Reese,Bangladesh
2017-11-04,Hannah Mcneil,South Africa
2009-09-07,Jasmine Velazquez,India
2022-05-12,Luke Williams,United Arab Emirates
2019-09-01,Brittany Simpson,Croatia
2002-01-04,Crystal Graves,Somalia
2004-09-13,Troy Dawson,Kiribati
1999-08-23,Tammy Johnson,Guernsey
2010-03-03,Marie Castro,Korea
2000-03-18,Cheryl Navarro,Tunisia
2019-11-26,Jason Henderson,Sierra Leone
2000-03-20,Zachary Payne,Guinea-Bissau
1998-11-20,Lisa Barnett,Reunion
2014-08-26,Bryan Green,Ecuador
2021-03-02,Lisa Smith,Congo
2010-10-02,Kathleen Rodriguez,Norfolk Island
2019-08-07,Nicole Johnson,Tonga
2005-05-19,Joseph Terry,Saint Lucia
2012-12-12,Virginia Beasley,French Southern Territories
2018-07-14,Amanda Klein,Moldova
2016-08-21,Ian Wheeler,Bulgaria
2018-05-11,Laurie Gilbert,China
2020-05-06,John Salazar,Vanuatu
1999-09-22,Sara Davenport,Guadeloupe
2022-08-03,Margaret Franklin,Martinique
2024-02-08,Isaac Cox,Wallis and Futuna
2011-10-23,Ryan Davila,Liechtenstein
2008-10-06,Anita Bauer,Netherlands
2020-04-26,Cynthia Smith,Bolivia
1996-01-06,Michele Ross,Montserrat
2014-03-06,Timothy Powell,Lithuania
1996-07-15,Lisa Mcconnell,Aruba
2010-06-30,Eric Travis,Cocos (Keeling) Islands
2004-05-29,Andrew Harris,Equatorial Guinea
2016-05-14,Robert Miller,Trinidad and Tobago
2023-06-30,Andrea Rogers,Cape Verde
2006-08-29,Chris Parker,Holy See (Vatican City State)
2001-03-11,Rebecca Sanchez,Cayman Islands
2012-08-22,Lindsay Williams,Cuba
2023-06-10,Cindy Miller,Bouvet Island (Bouvetoya)
2009-08-01,Kelly Waters,Mongolia
2014-10-09,Jose Powell,French Guiana
2015-02-11,Calvin Rogers,Greenland
1995-04-16,James Bell,Guernsey
2013-05-24,Anthony Murray,Costa Rica
2020-05-26,William Andrews,Burundi
1997-04-07,Jose Henderson,Mayotte
2024-03-07,Jesus Lewis,Mozambique
2006-08-03,Timothy Knight,Myanmar
2012-06-15,Michael Lewis,Tonga
2021-09-08,Erin Hunt,Gabon
1996-02-01,Carrie Duarte,Kyrgyz Republic
2013-11-27,Charles Lane,Czech Republic
1997-03-18,Kylie Mueller,Singapore
1994-11-02,Tyler Baker,Estonia
2023-10-04,Andrea Lara,Peru
2003-03-26,Marie Gates,Cote d'Ivoire
2022-11-25,Eric Austin,Equatorial Guinea
2010-04-22,Alexander Bradley,Swaziland
2014-06-18,Kimberly Sims,Christmas Island
2008-05-10,Melissa Snyder,American Samoa
2011-10-25,Mary Campbell,Palestinian Territory
2013-10-22,David Gonzalez,Eritrea
1995-07-04,Harold Hawkins,Morocco
2022-09-25,Kyle Pham,Malta
2014-01-21,Debra Hernandez,Egypt
2000-11-10,Jonathan Richards,French Southern Territories
2000-07-16,Bailey Cortez,Japan
2019-07-09,Terri Anderson,Taiwan
2017-06-18,Joseph Hoffman,Romania
1998-07-22,Jamie Scott,Jamaica
2015-03-09,Dr. Bobby Spears,Latvia
2015-08-20,Mark Martinez,Burkina Faso
2017-03-20,Cesar Willis,Cambodia
1998-12-16,Deanna Horne,Dominican Republic
1998-04-11,Elaine Rodriguez,Germany
2023-07-13,Vanessa Lane,Lao People's Democratic Republic
2007-01-26,Bonnie Clark,Palau
2001-11-19,Alejandro Gomez,Rwanda
2020-09-04,Annette Perry,Austria
2010-06-22,Mrs. Connie Barnett,Micronesia
2023-05-23,Dylan Davis,Saint Kitts and Nevis
2019-02-17,Michael Bailey,Heard Island and McDonald Islands
2016-10-23,Evan Lewis,Mauritania
2016-02-24,Scott Brooks,Central African Republic
2023-08-20,Jill Espinoza,Tajikistan
2021-01-09,Amanda Malone,Taiwan
2007-05-13,Dr. Dawn Cook,French Southern Territories
1997-03-25,Timothy Kelley,Bermuda
2014-03-17,Paula Smith,Mongolia
2017-11-18,Jessica Perry,Namibia
2021-09-25,Maria Diaz,Burkina Faso
2005-11-19,Cody Kirby,Saint Pierre and Miquelon
2016-06-25,Richard Hill,Finland
1996-10-29,Roberta Davis,Paraguay
2003-08-12,James Wise,Burkina Faso
2013-03-31,Kyle Fry,Isle of Man
2000-09-14,Mary Nolan,Turkey
2009-11-18,Barbara Faulkner,Philippines
2011-03-13,Jimmy Jones,Iceland
2000-03-17,Mckenzie Scott,Marshall Islands
1996-01-09,Amanda Riley,Comoros
1999-04-11,Jacob Wood,Marshall Islands
2006-11-20,Evan Scott,Grenada
2003-01-10,Preston Bartlett,Denmark
2023-05-31,Ashley Weeks,Mauritius
2000-09-20,Tami Petty,Cuba
2019-09-10,Miss Meghan Orr,Austria
2014-07-05,Jasmine Levy,Netherlands Antilles
2005-01-17,Francisco Hayes,Guinea-Bissau
2018-04-13,April Wilson,Egypt
2006-11-09,Brenda Stevens,British Virgin Islands
2002-02-24,Tyler Drake,Poland
2014-01-13,Kathryn Lawson,Cook Islands
1996-10-25,Kristina Gaines,Namibia
2016-12-29,Danielle Whitaker,Russian Federation
2014-12-14,Megan Lynch,Holy See (Vatican City State)
2019-11-12,Jason Schmitt,Qatar
2002-05-18,Melissa Martin,New Caledonia
2019-07-30,Thomas Mccoy,Svalbard & Jan Mayen Islands
2015-09-15,Jill Ward,Malawi
2008-09-27,Tiffany Morris,Isle of Man
2013-11-13,Brenda Gutierrez,Belarus
1999-07-13,Melissa Smith,Pitcairn Islands
1999-07-02,Alice Snyder,Cote d'Ivoire
1995-05-02,Kevin Brown,Lithuania
2024-01-17,Jermaine Sandoval,Dominican Republic
2020-01-16,Christine James,Grenada
2018-04-26,Ashley Higgins,Saint Helena
1996-05-15,Michael Frazier,Azerbaijan
2007-04-20,Jacqueline Hood,Czech Republic
2003-08-25,Victor Mckenzie,Isle of Man
2001-10-08,Diane Martinez,Guatemala
2022-03-20,Jenna Johnson,Cameroon
2009-09-20,Jeffrey Serrano,Solomon Islands
2023-03-21,Erika Gonzalez,Cote d'Ivoire
1995-05-16,Philip Mueller,Mongolia
2015-11-16,Lisa Jacobs,Mauritius
2014-01-12,Laura Andersen,New Caledonia
2009-09-27,Tyler Roy,United States Virgin Islands
2010-10-06,Sean Hampton,Cayman Islands
2019-06-06,Kim Smith,Bouvet Island (Bouvetoya)
1997-01-06,Jeffrey Johnson,Montenegro
1998-05-24,Crystal Williams,Mauritius
2012-10-02,Nicole Gonzalez,Heard Island and McDonald Islands
2005-10-26,Kathy Benson,Tajikistan
2002-08-02,Brianna Perez,Tajikistan
1999-07-25,Erica Collins,Gabon
1995-12-31,Elizabeth Watson,Taiwan
2023-04-11,Anna Davenport,Latvia
2000-04-16,Caroline Hunt,Antarctica (the territory South of 60 deg S)
2013-12-22,Danielle Thomas,Costa Rica
2003-11-29,Holly Ramirez,Brazil
2022-09-26,Larry Pierce DVM,French Polynesia
2019-03-20,Kathryn Proctor,France
1999-10-19,Natalie Bailey,Isle of Man
2016-06-06,Julie Johnson,Tuvalu
1999-05-09,Sarah Mcdowell,Gambia
2007-07-24,Mr. Joseph Lambert,Mongolia
2021-11-16,Cindy Dennis,Northern Mariana Islands
1996-05-01,Danielle Johnson,Guyana
1996-03-18,Daniel Odom,Puerto Rico
2007-10-26,Michelle Avery,Northern Mariana Islands
2023-09-11,Eddie Short,Jordan
1999-03-31,Craig Miller,Western Sahara
2015-12-06,Victor White,Hong Kong
2000-10-16,Michael Brown,Saint Helena
2021-04-12,Jeremy Bailey,Fiji
2000-03-14,Danielle Nguyen,Albania
2023-01-02,Jack Brown,Bolivia
2009-10-04,Dr. Edward Wagner,Saint Vincent and the Grenadines
2006-12-20,Miranda Rodriguez,Netherlands
2010-10-13,Regina Grant,Qatar
2000-03-30,Jesse Baker,French Southern Territories
2003-02-16,Christina Kennedy,China
1997-03-06,Jason Wilson,Macao
2008-10-12,George Patterson,Tonga
1995-10-31,Rhonda Lynch,Portugal
2006-12-05,Wendy Rice,Korea
1998-03-26,Deborah Curtis,Norfolk Island
2003-02-19,Victoria Hopkins,Ghana
2012-01-22,Danielle Rogers,Gabon
2020-07-06,Edward White,Iceland
2014-04-15,Danielle Stephenson,Indonesia
2022-11-04,Terry Zamora,Argentina
2017-11-02,Frederick Baker,Bulgaria
2018-08-14,Mr. Randy Mckenzie MD,Antarctica (the territory South of 60 deg S)
2018-08-30,Penny King,Mauritania
1995-11-07,Laurie Brown,India
2011-04-08,Pamela Bush,Saudi Arabia
2022-06-17,Barry Smith,Armenia
2000-10-13,Heather West,Afghanistan
1997-01-30,Melissa Gentry,Nepal
1996-11-10,Gloria Forbes,Sri Lanka
2001-09-23,Brandon Bowman,El Salvador
2007-01-12,Joseph Sloan,Cambodia
2012-09-27,Matthew Thomas,South Georgia and the South Sandwich Islands
2013-05-15,Larry Adams,Kuwait
2019-12-20,Mark Tapia,Zimbabwe
2023-10-28,Misty Smith,Palestinian Territory
2018-11-14,Edward Mccullough,Cambodia
2002-03-09,Kimberly Grant,Somalia
2008-12-02,Gabriella Liu,Botswana
2015-12-27,James Mccormick,Morocco
1996-08-20,Steven Parrish,Malawi
1997-08-03,Brent Gonzalez,Guam
2011-10-07,Amber Munoz,Equatorial Guinea
2020-05-30,Richard Patterson,Angola
2013-05-22,Matthew Stephens,Saint Lucia
2009-09-05,Rachel Proctor,Morocco
2009-09-07,Jessica Lambert,Greenland
2019-03-23,Ashley Mitchell,Equatorial Guinea
2018-06-05,Jeffrey Fuller MD,Netherlands
1998-07-28,Danny Oliver,Reunion
2019-10-06,Caitlin Meadows,Seychelles
2001-11-04,Beverly Brooks,Nauru
1994-08-19,Lisa Barnett,Korea
1998-03-12,Ruben Jones,Dominican Republic
2010-03-15,Roger Buckley,Equatorial Guinea
2010-07-22,William Ferrell,Marshall Islands
2008-06-02,Sarah Meyer,Hong Kong
2012-06-12,Caitlin Davis,Libyan Arab Jamahiriya
2023-11-03,Lacey Cole,Pitcairn Islands
2000-01-26,Jay Alvarez,Cook Islands
2019-12-29,Jeffery Pratt,Somalia
2008-03-14,Ashley Gonzales,Qatar
2013-10-08,Jose Cortez,Syrian Arab Republic
2014-03-10,Max Miller,Macedonia
2019-03-07,Amy Sanchez,Monaco
2022-12-14,Jason Vargas,Benin
2017-07-14,Taylor Morgan,Bulgaria
2018-04-28,Michael Gray,United States of America
1995-10-26,Curtis Richards,Equatorial Guinea
2001-05-18,Bradley Smith,Canada
2006-04-14,Ruth Hebert,Qatar
2010-12-17,Gregory Harris,Belize
2012-04-25,Darin White,Saint Lucia
2023-07-13,Jennifer Schultz,Haiti
2016-01-02,Linda Obrien,Isle of Man
1998-07-28,Lauren Smith,Bouvet Island (Bouvetoya)
2005-08-10,Shawn Baker,British Virgin Islands
2007-12-08,Tony Rodriguez,Rwanda
2020-02-18,Bradley Miller,Chad
2021-01-30,Matthew Miranda,United States Virgin Islands
2016-09-28,Kristen Rich,Cocos (Keeling) Islands
2004-06-07,Veronica Pearson,Malaysia
2016-01-25,Lauren Fowler,Greenland
2012-05-03,Alexander Peters,Turkey
2014-10-02,Christopher Fernandez,Cook Islands
2014-08-26,Terry Gonzalez,Lao People's Democratic Republic
2007-02-13,Beverly Hernandez,Gambia
1995-09-18,Jason Williams,Serbia
2017-11-08,Nicholas Holmes,San Marino
2000-11-01,Joshua Park,Singapore
2018-06-28,Rebecca Blake,Mauritania
2005-04-21,Jacqueline Garcia,Brunei Darussalam
2012-07-13,Carrie Brown,South Georgia and the South Sandwich Islands
2008-02-05,Jill Wagner,Guam
2018-08-13,James Gutierrez,South Georgia and the South Sandwich Islands
2008-06-24,Cynthia Collins,Slovakia (Slovak Republic)
1996-08-18,Michael Carter,Cuba
2021-05-30,Hannah Ortiz,Saint Lucia
2003-03-12,Rebecca Hardy,Liechtenstein
1997-03-29,Anthony Stevens,Nigeria
2011-04-14,Eddie Scott,Samoa
2000-05-18,Heather Vasquez,Saint Kitts and Nevis
2011-05-13,Jacqueline Velez,New Zealand
2014-04-01,Melissa Daniels,Egypt
2020-05-12,Joe Roberts,Uruguay
2009-03-27,Tracy Anderson,Saint Pierre and Miquelon
1995-03-10,Michael Oconnor,Somalia
2004-10-29,Derrick Williams DDS,Heard Island and McDonald Islands
2022-04-14,Craig Padilla,Holy See (Vatican City State)
2020-09-18,Scott Jones,Guadeloupe
2018-07-01,Amber Clark,Falkland Islands (Malvinas)
2012-11-24,James Chase,Namibia
1996-04-20,Scott Gonzalez,Christmas Island
2004-06-16,John Sims,Colombia
2009-06-03,Brian Walker,Palestinian Territory
2007-09-05,Courtney Underwood,Georgia
1998-11-15,Daniel Santiago,Djibouti
2017-05-28,Stephanie Boyer,Tokelau
1999-05-03,Tammy Price,Montserrat
2013-06-05,Thomas Allen,Tonga
2020-09-22,Lisa Salas,Togo
2014-05-26,Kylie Hall,Tokelau
2023-04-03,Christopher Thompson,Nepal
2009-04-03,Vanessa Fitzgerald,Afghanistan
2001-02-14,Jane Johnston,Timor-Leste
1995-11-02,Erika Poole,United States Minor Outlying Islands
2019-08-25,Nicole Wolfe,Western Sahara
2018-08-27,Tony Bennett,Puerto Rico
1998-12-13,Roger Underwood,Tuvalu
2014-04-21,Tina Jenkins,Iceland
2014-04-07,Catherine Wade,Congo
2010-03-15,Jason Mills,Burundi
1998-05-18,Jessica Harrison,Mayotte
2000-09-23,Debra Gardner,Sierra Leone
2013-04-26,Darrell Hogan,Saint Pierre and Miquelon
2019-01-03,Christy Ward,Solomon Islands
2010-05-11,Lisa Keith,Congo
1999-01-20,Erin White,Pitcairn Islands
2009-07-01,Shelby White MD,Thailand
2016-03-07,Heather Livingston,British Indian Ocean Territory (Chagos Archipelago)
2010-03-09,Edward Hickman,Myanmar
2000-02-19,Danny Arnold,Reunion
2017-05-02,Anthony Cruz,French Guiana
1996-03-13,Stephanie Rubio,Germany
2002-01-18,Paul Hoover,Kiribati
2014-04-29,Stephanie Miller,Iceland
2007-12-27,Gloria Ferguson,Swaziland
2020-06-27,John Hamilton,Tunisia
2004-01-12,James Green,Pakistan
1995-02-27,Angelica Perez,Tuvalu
1998-07-05,Natalie King,India
2000-01-04,Charles Miller,New Zealand
2023-04-02,David Gordon,Nicaragua
1997-02-04,Steven Gomez,Benin
2010-08-04,Holly Torres,Myanmar
2015-12-03,Kylie Fischer,Japan
1997-08-31,Theresa Wright,Vanuatu
1994-05-13,Christopher Knox,Anguilla
2017-09-25,Jose Bell,Nepal
2019-02-10,Charles Gross,Bosnia and Herzegovina
2013-01-27,Christopher Boone,Tajikistan
2010-07-02,Brandy Poole,Kiribati
2000-05-14,Michael Perez,Greece
2013-08-05,Sabrina Cooper,Belarus
1996-03-06,Gary Long,Guam
2006-03-04,Natasha Jones,Canada
2018-03-09,Allison Watson,Rwanda
2021-12-08,Dylan Lane,Djibouti
2004-09-06,Isabella Benson,China
2003-02-24,Patricia Patrick,Togo
2021-09-19,Steven Byrd,Cuba
2003-01-14,Joshua Barrett,Niue
2015-10-08,Cynthia Velasquez,Swaziland
2010-07-04,Derrick Larsen,Botswana
2019-01-22,Donna Henderson,Argentina
2015-01-17,Willie Wiggins,Spain
2013-07-17,Laura Franklin,Mali
2020-10-20,Joseph Brown,Argentina
2023-01-21,Jeremy Rodriguez,Monaco
2011-09-03,Nathan Wright,Armenia
2014-07-01,Amanda Johnston,Kazakhstan
1999-02-15,Justin Parker,Bangladesh
2015-04-22,John Mckenzie,Marshall Islands
2016-03-15,Thomas Davis,Bouvet Island (Bouvetoya)
1998-03-03,Derrick Porter,Togo
2021-05-21,Angela Pearson,Heard Island and McDonald Islands
2022-08-02,Gerald Martinez,Isle of Man
2013-07-17,Edward Cole,South Africa
2009-06-16,Gabrielle Rivera,Lao People's Democratic Republic
2006-06-16,Timothy Rowland,American Samoa
2013-10-07,Elijah Gomez,Reunion
2006-10-01,William Johnson,Kyrgyz Republic
2004-09-07,Carly Alvarado,Trinidad and Tobago
2020-05-27,Joshua Peterson,Japan
2004-01-27,Bethany Schultz,Uzbekistan
2008-12-03,Jonathan Davis,Liberia
2009-08-21,Carmen Warren,Argentina
2021-04-11,Corey Chang,Saint Vincent and the Grenadines
2001-09-09,Denise Stevenson,Gabon
2004-01-02,Corey Clark,Estonia
2008-12-07,Kristin Glover,Mongolia
2007-09-24,Kylie Hernandez,Mauritius
2001-08-02,Elizabeth Rodriguez,Saint Vincent and the Grenadines
2007-11-06,Crystal Kim,Gibraltar
2010-06-15,Laura Sanchez,Vanuatu
2000-06-13,Justin Moore,Ghana
2010-05-15,Earl Barker,Bouvet Island (Bouvetoya)
2013-10-26,Rachel Baker,Turkmenistan
2023-11-28,Patrick Robinson,Dominica
2004-03-11,Brian Robinson,Philippines
2002-06-28,Brian Fisher,Honduras
2007-05-23,Scott Mcdowell,Oman
2010-06-15,Brenda Brooks,Botswana
1996-12-20,Gregory Jones,Korea
2007-01-09,Stephanie Williams,French Guiana
2023-09-20,Jonathan Perez,Northern Mariana Islands
1999-01-14,Stephanie Guerrero,Northern Mariana Islands
2010-07-01,John Soto,Lao People's Democratic Republic
1996-10-17,Stephanie Conway,United States Virgin Islands
2008-06-23,Jessica Edwards,Finland
1998-01-11,Heather Peterson,Zimbabwe
2018-05-24,John Juarez,Singapore
1998-09-17,Thomas Woods,Venezuela
1999-03-30,Erica Brown,Mozambique
2020-08-15,Michelle Norris,Ukraine
2019-07-23,Nicholas Brown,Mongolia
2016-04-07,Andrea Palmer,Andorra
2005-02-18,Tiffany Nichols,Fiji
2009-11-07,Katherine Hull,Timor-Leste
2015-02-22,Andrea Stevens,Aruba
2019-06-08,David White,Bosnia and Herzegovina
2005-06-14,Bruce Palmer,Zambia
2007-12-23,Denise Keith,Cote d'Ivoire
